symbol,exchange,type,organ_short_name,organ_name,product_grp_id,icb_code2
YEG,HSX,STOCK,Tập đoàn Yeah1,Công ty Cổ phần Tập đoàn Yeah1,STO,5500
YBM,HSX,STOCK,Khoáng sản CN Yên Bái,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,STO,1700
X20,HNX,STOCK,May mặc X20,Công ty Cổ phần X20,STX,3700
WSS,HNX,STOCK,Chứng khoán Phố Wall,Công ty Cổ phần Chứng khoán Phố Wall,STX,8700
WCS,HNX,STOCK,Bến xe Miền Tây,Công ty Cổ phần Bến xe Miền Tây,STX,2700
VVS,HSX,STOCK,Đầu tư Phát triển Máy Việt Nam,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,STO,3300
VTZ,HNX,STOCK,Nhựa Việt Thành,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,STX,1300
VTV,HNX,STOCK,Năng lượng và Môi trường VICEM,Công ty Cổ phần Năng lượng và Môi trường VICEM,STX,2300
VTP,HSX,STOCK,Bưu chính Viettel,Tổng Công ty Cổ phần Bưu chính Viettel,STO,2700
VTO,HSX,STOCK,VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO,STO,2700
VTJ,HNX,STOCK,TM và Đầu tư VINATABA,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,STX,3700
VTH,HNX,STOCK,Dây cáp điện Việt Thái,Công ty Cổ phần Dây cáp điện Việt Thái,STX,2700
VTC,HNX,STOCK,Viễn thông VTC,Công ty Cổ phần Viễn Thông VTC,STX,9500
VTB,HSX,STOCK,Viettronics Tân Bình,Công ty Cổ phần Viettronics Tân Bình,STO,2700
VSM,HNX,STOCK,Container Miền Trung,Công ty Cổ phần Container Miền Trung,STX,2700
VSI,HSX,STOCK,Đầu tư và Xây dựng Cấp thoát nước,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,STO,2300
VSH,HSX,STOCK,Thủy điện Vĩnh Sơn - Sông Hinh,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,STO,7500
VSC,HSX,STOCK,VICONSHIP,Công ty Cổ phần Container Việt Nam,STO,2700
VSA,HNX,STOCK,Đại lý Hàng hải VN,Công ty Cổ phần Đại lý Hàng hải Việt Nam,STX,2700
VRE,HSX,STOCK,Vincom Retail,Công ty Cổ phần Vincom Retail,STO,8600
VRC,HSX,STOCK,Bất động sản và Đầu tư VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC,STO,8600
VPX,HSX,STOCK,Chứng khoán VPBank,Công ty Cổ phần Chứng khoán VPBank,STO,8700
VPS,HSX,STOCK,Thuốc sát trùng Việt Nam,Công ty Cổ phần Thuốc sát trùng Việt Nam,STO,1300
VPL,HSX,STOCK,Vinpearl ,Công ty Cổ phần Vinpearl,STO,5700
VPI,HSX,STOCK,Đầu tư Văn Phú - Invest,Công ty Cổ phần Phát triển Bất động sản Văn Phú,STO,8600
VPH,HSX,STOCK,Vạn Phát Hưng,Công ty Cổ phần Vạn Phát Hưng,STO,8600
VPG,HSX,STOCK,Đầu tư TMại XNK Việt Phát,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,STO,1700
VPD,HSX,STOCK,Phát triển Điện lực Việt Nam,Công ty Cổ phần Phát triển Điện lực Việt Nam,STO,7500
VPB,HSX,STOCK,VPBank,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,STO,8300
VOS,HSX,STOCK,Vận tải Biển Việt Nam,Công ty Cổ phần Vận tải Biển Việt Nam,STO,2700
VNT,HNX,STOCK,Vận tải ngoại thương,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,STX,2700
VNS,HSX,STOCK,Ánh Dương Việt Nam,Công ty Cổ phần Ánh Dương Việt Nam,STO,5700
VNR,HNX,STOCK,Tái bảo hiểm Quốc gia,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,STX,8500
VNM,HSX,STOCK,VINAMILK,Công ty Cổ phần Sữa Việt Nam,STO,3500
VNL,HSX,STOCK,Vinalink Logistics,Công ty Cổ phần Logistics Vinalink,STO,2700
VNG,HSX,STOCK,DL Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,STO,5700
